Iteration,X,f(X)
0,5.160140613154624,1.0875994368115096
0,4.179288512865202,1.5944929881355208
0,4.659471522322841,0.4981195130771855
0,4.639650935509536,0.4824674629067186
0,2.661198808077388,0.9381383536373078
0,4.011893422136507,1.6195624081750202
0,5.568323602484169,0.347294246821483
0,4.906074228819824,1.3133765586584385
0,5.979069997685822,0.28464963684078287
0,3.6281584387430956,0.7309626936709013
1,5.26056786199297,0.9742125896900954
1,5.047457331795387,1.1988004656110076
1,5.854155095432108,0.32208037800176104
1,5.175925535359981,1.0706243307022598
1,4.675876062315482,0.5186567434123139
1,5.7297194547161086,0.9815732966374097
1,4.568018991834499,0.509735916643266
1,3.338896960311267,1.6695328644988106
1,3.8100598401043655,0.7173395874042884
1,4.036288356374236,1.6163827254188115
2,5.655885087904011,0.6231067172523506
2,4.034237270088462,1.6166556806029146
2,5.3496607523211175,0.7047017541481837
2,3.520756981161449,0.9334705484322497
2,2.1646321131963115,1.6919073938782883
2,4.624862169043629,0.4774084666348436
2,5.867766882495252,0.3153455303935295
2,3.578587882980549,0.8151881771674385
2,4.314660121233531,1.5674298142721934
2,3.922741407052278,0.9588626890030736
3,5.0812692925749685,1.1673019147829686
3,5.052293636700675,1.1943938407865926
3,5.689527854622117,0.7776757150795313
3,3.8441451479840256,0.7746362987759041
3,4.664338845332605,0.503504136530401
3,4.403389294089847,0.9444800663138938
3,4.967576145414924,1.2668645313786784
3,5.864886305882081,0.31671819325324896
3,4.716947363867138,0.59867704571229
3,4.687710604865234,0.53762821133665
4,5.153375854492924,1.094771893326226
4,4.954868778983634,1.2768851129881162
4,5.730021136962379,0.9831467589743386
4,5.58837753593447,0.39069023240674117
4,2.814245047789268,0.837164068776849
4,5.668848504652851,0.6803058754217008
4,5.543824947297686,0.31237136687432165
4,4.5853031220675495,0.4914454522521444
4,4.07688248149291,1.61075874360405
4,3.1249762272502157,1.676795034883665
5,5.507769588477117,0.29846611861630634
5,4.859064246237673,1.3456592933314178
5,5.710882829757452,0.8842778913844987
5,4.485513668810894,0.6833332297170147
5,5.81274624391996,0.3463677789588176
5,5.602854528726263,0.4298883490794193
5,5.997668692153453,0.28386304747997904
5,5.63339202509075,0.5324185860916655
5,5.967426470418433,0.28578164430115777
5,4.633664428767615,0.4797365696775979
6,5.613207877213464,0.4617519539041187
6,5.030564685075567,1.2139342157740978
6,5.927223201067496,0.2934574604945684
6,5.389734211226889,0.5443771882539339
6,4.255325838133186,1.5801712082219526
6,5.264669036340655,0.9693277062529789
6,5.722564875824136,0.9443719247166098
6,5.048248670684822,1.1980816865039674
6,4.843616587605398,1.3556776718870838
6,4.476578001650145,0.708955287303348
7,5.314762151182217,0.8603836448912521
7,5.571293664279519,0.35289692201397826
7,5.823017134477221,0.3398203516841786
7,4.994050889616238,1.2452838856592496
7,5.491918280902542,0.3065154458959064
7,5.818947131287109,0.34237425542888755
7,5.846182491188309,0.32631587659737776
7,5.882773688382847,0.3086554466892703
7,5.677643899377383,0.7208817141128047
7,3.7306114578736334,0.6563134672221076
8,5.779766054610583,0.36963985447519043
8,5.128848213967592,1.1202542826696644
8,5.856205222120336,0.3210258122318312
8,5.774683636716072,0.37352258440839714
8,4.870069468934861,1.338346677814053
8,5.362982576907627,0.6485975311959309
8,5.734638163007547,0.4067404146539276
8,5.415259410377036,0.4583608120984206
8,5.3373987092512225,0.7582293094091178
8,4.079281718898017,1.6104127155030352
9,5.15929060167179,1.0885040720912647
9,5.021336334899961,1.2220326987043642
9,5.762552414363006,0.3830998899945778
9,5.7089827981352474,0.8746022708830836
9,5.048064483341498,1.198249063972046
9,5.765288535710612,0.38090206269352667
9,5.93893309219999,0.2906212374867271
9,5.748853323479571,0.39442801048665754
9,5.502307711530737,0.3002726962296297
9,2.3347099866659544,1.690416137947793
10,5.359785910034889,0.6618391974935116
10,4.72516916119943,0.6192655683122675
10,5.926549489044166,0.29363557200395124
10,5.727747956082148,0.9712993068021267
10,5.666318933462927,0.6688902044102447
10,5.542725439119032,0.31128323829952353
10,5.836115943807188,0.3319669809322092
10,5.444416250194469,0.3800063778035132
10,5.220304831615293,1.02116260600027
10,3.0717345620012675,1.6782631563444823
11,5.861754873586907,0.3182425078847512
