Iteracija,a3,a2,a1,a0,Pogreška
1,1.7753864777299455,-7.686335736455665,5.9529758078123525,7.7759823730105175,635.5343049759347
2,2.2052562637239514,-9.438749250876771,7.5918732574774435,2.024262724316779,104.05982967315347
3,2.2052562637239514,-9.438749250876771,7.5918732574774435,2.024262724316779,104.05982967315347
4,1.678491329349312,-6.281443672811189,8.063678866738467,-2.346656152274944,15.828805861754645
5,1.678491329349312,-6.281443672811189,8.063678866738467,-2.346656152274944,15.828805861754645
6,1.678491329349312,-6.281443672811189,8.063678866738467,-2.346656152274944,15.828805861754645
7,1.678491329349312,-6.281443672811189,8.063678866738467,-2.346656152274944,15.828805861754645
8,1.678491329349312,-6.281443672811189,8.063678866738467,-2.346656152274944,15.828805861754645
9,1.678491329349312,-6.281443672811189,8.063678866738467,-2.346656152274944,15.828805861754645
10,1.678491329349312,-6.281443672811189,8.063678866738467,-2.346656152274944,15.828805861754645
11,1.678491329349312,-6.281443672811189,8.063678866738467,-2.346656152274944,15.828805861754645
12,1.678491329349312,-6.281443672811189,8.063678866738467,-2.346656152274944,15.828805861754645
13,1.4357330760568243,-4.7467880335462915,6.9278906583197974,-3.4058117061341973,13.638160423118359
14,1.4357330760568243,-4.7467880335462915,6.9278906583197974,-3.4058117061341973,13.638160423118359
15,1.607853108985291,-6.032018556327894,8.097613947502882,-1.9425495137263304,5.3032981520617595
16,1.607853108985291,-6.032018556327894,8.097613947502882,-1.9425495137263304,5.3032981520617595
17,1.607853108985291,-6.032018556327894,8.097613947502882,-1.9425495137263304,5.3032981520617595
18,1.607853108985291,-6.032018556327894,8.097613947502882,-1.9425495137263304,5.3032981520617595
19,1.3867439240720136,-4.353624254466624,5.32055485588865,-2.346656152274944,3.6489034365030992
20,1.2819445479691183,-3.935657755361178,5.924942360010192,-2.7044721633867788,2.5517538408128604
21,1.2819445479691183,-3.935657755361178,5.924942360010192,-2.7044721633867788,2.5517538408128604
22,1.3258809140828287,-4.118032100192771,5.643948583431562,-2.0927779107983246,2.0431385067618146
23,1.3258809140828287,-4.118032100192771,5.643948583431562,-2.0927779107983246,2.0431385067618146
24,1.3258809140828287,-4.118032100192771,5.643948583431562,-2.0927779107983246,2.0431385067618146
25,1.347408431085595,-4.348907997428154,6.455674301873517,-3.070596105716863,1.5870317325573873
26,1.347408431085595,-4.348907997428154,6.455674301873517,-3.070596105716863,1.5870317325573873
27,1.561731717302628,-5.635180276886205,7.232373955203779,-1.6556775478337848,1.1652746741085664
28,1.3676204856464458,-4.357488534465027,6.061308556664322,-2.7221365963011026,0.6349847292068621
29,1.4758706572910807,-5.007157534463791,6.453603170438525,-2.007491074307195,0.5476171533929262
30,1.4758706572910807,-5.007157534463791,6.453603170438525,-2.007491074307195,0.5476171533929262
31,1.4758706572910807,-5.007157534463791,6.453603170438525,-2.007491074307195,0.5476171533929262
32,1.5191111787005362,-5.30493704577709,6.597696351294948,-1.3530052849540164,0.3725748195139281
33,1.4569366316122334,-4.895766327122645,6.261698829384912,-1.9433081307463607,0.13593194817679205
34,1.4569366316122334,-4.895766327122645,6.261698829384912,-1.9433081307463607,0.13593194817679205
35,1.4271483537184348,-4.74352511876127,6.304325034835083,-2.1668223131032027,0.03896757129601093
36,1.4271483537184348,-4.74352511876127,6.304325034835083,-2.1668223131032027,0.03896757129601093
37,1.4271483537184348,-4.74352511876127,6.304325034835083,-2.1668223131032027,0.03896757129601093
38,1.4271483537184348,-4.74352511876127,6.304325034835083,-2.1668223131032027,0.03896757129601093
39,1.4271483537184348,-4.74352511876127,6.304325034835083,-2.1668223131032027,0.03896757129601093
40,1.4271483537184348,-4.74352511876127,6.304325034835083,-2.1668223131032027,0.03896757129601093
41,1.4271483537184348,-4.74352511876127,6.304325034835083,-2.1668223131032027,0.03896757129601093
42,1.4271483537184348,-4.74352511876127,6.304325034835083,-2.1668223131032027,0.03896757129601093
43,1.4271483537184348,-4.74352511876127,6.304325034835083,-2.1668223131032027,0.03896757129601093
44,1.4365225341454568,-4.797885257124309,6.307634336719792,-2.0409377152117116,0.021284211063350836
45,1.4365225341454568,-4.797885257124309,6.307634336719792,-2.0409377152117116,0.021284211063350836
46,1.4450523302232443,-4.869312225220749,6.418997740496113,-2.004506535690891,0.014731036870131997
47,1.4450523302232443,-4.869312225220749,6.418997740496113,-2.004506535690891,0.014731036870131997
48,1.4450523302232443,-4.869312225220749,6.418997740496113,-2.004506535690891,0.014731036870131997
49,1.4450523302232443,-4.869312225220749,6.418997740496113,-2.004506535690891,0.014731036870131997
50,1.4522286507677662,-4.9131666802929574,6.448553229569884,-1.9778122492995165,0.012977924938390863
51,1.4522286507677662,-4.9131666802929574,6.448553229569884,-1.9778122492995165,0.012977924938390863
52,1.4522286507677662,-4.9131666802929574,6.448553229569884,-1.9778122492995165,0.012977924938390863
53,1.4522286507677662,-4.9131666802929574,6.448553229569884,-1.9778122492995165,0.012977924938390863
54,1.4522286507677662,-4.9131666802929574,6.448553229569884,-1.9778122492995165,0.012977924938390863
55,1.4522286507677662,-4.9131666802929574,6.448553229569884,-1.9778122492995165,0.012977924938390863
56,1.4484149060874407,-4.874291583108766,6.373386104239305,-2.0056788445216087,0.008021248090537992
57,1.4484149060874407,-4.874291583108766,6.373386104239305,-2.0056788445216087,0.008021248090537992
58,1.4579619546911138,-4.944473834244016,6.471576710197368,-1.9479461307337387,0.006053863960600423
59,1.455784420518782,-4.929679790890021,6.4541776142801455,-1.9619824402374897,0.0031236318024693995
60,1.4518413801264107,-4.903085249815993,6.427540980761702,-1.9968055739229307,0.0019208902516488697
61,1.450537813747661,-4.895291062410565,6.421782930578905,-1.9957585671099032,0.0011970717650280646
62,1.450537813747661,-4.895291062410565,6.421782930578905,-1.9957585671099032,0.0011970717650280646
63,1.450537813747661,-4.895291062410565,6.421782930578905,-1.9957585671099032,0.0011970717650280646
64,1.450537813747661,-4.895291062410565,6.421782930578905,-1.9957585671099032,0.0011970717650280646
65,1.450537813747661,-4.895291062410565,6.421782930578905,-1.9957585671099032,0.0011970717650280646
66,1.4497406465629359,-4.889454203354919,6.41789023615813,-2.004045954961576,0.0011486397698514683
67,1.4497406465629359,-4.889454203354919,6.41789023615813,-2.004045954961576,0.0011486397698514683
68,1.4497406465629359,-4.889454203354919,6.41789023615813,-2.004045954961576,0.0011486397698514683
69,1.4497406465629359,-4.889454203354919,6.41789023615813,-2.004045954961576,0.0011486397698514683
70,1.4509773071969168,-4.896667137948569,6.4182176188613305,-1.9833432555626718,0.000891718553395793
71,1.4509773071969168,-4.896667137948569,6.4182176188613305,-1.9833432555626718,0.000891718553395793
72,1.4509773071969168,-4.896667137948569,6.4182176188613305,-1.9833432555626718,0.000891718553395793
73,1.4512933712880471,-4.899236052503061,6.422572620578563,-1.9833432555626718,0.0008822681792718324
74,1.4512933712880471,-4.899236052503061,6.422572620578563,-1.9833432555626718,0.0008822681792718324
75,1.4512933712880471,-4.899236052503061,6.422572620578563,-1.9833432555626718,0.0008822681792718324
76,1.4512933712880471,-4.899236052503061,6.422572620578563,-1.9833432555626718,0.0008822681792718324
77,1.4512933712880471,-4.899236052503061,6.422572620578563,-1.9833432555626718,0.0008822681792718324
78,1.4512933712880471,-4.899236052503061,6.422572620578563,-1.9833432555626718,0.0008822681792718324
79,1.4500623069308927,-4.89160541416833,6.4170137427055245,-1.9913384144002688,0.0008246545917012641
80,1.4500623069308927,-4.89160541416833,6.4170137427055245,-1.9913384144002688,0.0008246545917012641
81,1.4500623069308927,-4.89160541416833,6.4170137427055245,-1.9913384144002688,0.0008246545917012641
82,1.4500623069308927,-4.89160541416833,6.4170137427055245,-1.9913384144002688,0.0008246545917012641
83,1.450195810522077,-4.892331447606741,6.417379504662264,-1.9899209777842608,0.0008223768827537907
84,1.4502886025014838,-4.892969652601486,6.418147230402475,-1.9895881953755012,0.0008213957189234513
85,1.4502886025014838,-4.892969652601486,6.418147230402475,-1.9895881953755012,0.0008213957189234513
86,1.4502886025014838,-4.892969652601486,6.418147230402475,-1.9895881953755012,0.0008213957189234513
87,1.4502278039545025,-4.892674360288965,6.418298646485125,-1.9903787985357957,0.0008195048701152636
88,1.4502278039545025,-4.892674360288965,6.418298646485125,-1.9903787985357957,0.0008195048701152636
89,1.4502278039545025,-4.892674360288965,6.418298646485125,-1.9903787985357957,0.0008195048701152636
90,1.4502278039545025,-4.892674360288965,6.418298646485125,-1.9903787985357957,0.0008195048701152636
91,1.4502278039545025,-4.892674360288965,6.418298646485125,-1.9903787985357957,0.0008195048701152636
92,1.4502278039545025,-4.892674360288965,6.418298646485125,-1.9903787985357957,0.0008195048701152636
93,1.4502278039545025,-4.892674360288965,6.418298646485125,-1.9903787985357957,0.0008195048701152636
94,1.4502278039545025,-4.892674360288965,6.418298646485125,-1.9903787985357957,0.0008195048701152636
95,1.4502278039545025,-4.892674360288965,6.418298646485125,-1.9903787985357957,0.0008195048701152636
96,1.45029231020394,-4.893033759003597,6.418380468700999,-1.9901528808039592,0.0008193812775549685
97,1.45029231020394,-4.893033759003597,6.418380468700999,-1.9901528808039592,0.0008193812775549685
